,upper,lower,pred,obs,type,variable
17923,3.872939179,0.061478784,1.967209,2.5, Calibration,carbon
17926,3.896258782,0.045350124,1.9708045,2.2, Calibration,carbon
17929,5.934271911,0.228247068,3.0812595,3.69, Calibration,carbon
17933,10.08771269,0.247952865,4.91988,5.5, Calibration,carbon
17935,4.601946621,0.315778942,2.4588628,2.72, Calibration,carbon
17938,1.453943567,0.134780808,0.7943622,0.8, Calibration,carbon
17941,1.480048736,0.138818661,0.8094337,0.7, Calibration,carbon
17945,22.70411686,1.260381736,10.721868,11.183296, Calibration,carbon
17948,14.48135867,0.530226845,6.975566,5.48, Calibration,carbon
17951,6.933327351,0.113947239,3.5236373,3.876964, Calibration,carbon
17954,13.40734042,0.429208175,6.489066,7.2, Calibration,carbon
17956,3.50651194,0.185867535,1.8461897,2.039013, Calibration,carbon
17959,2.339466434,0.216780324,1.2781234,1.4, Calibration,carbon
17962,5.698710027,0.229325709,2.9640179,3.2, Calibration,carbon
17965,5.194072404,0.311531387,2.752802,2.9, Calibration,carbon
